FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,Time,FITC_fluorescence
11618.85,26.18,24778.6,2627.24,164.78,90.86,37.8,-39.15,240.64,1084.16,47.3,220.13705
27136.17,297.22,301.84,421.96,375.75998,158.62,6.75,8.1,993.27997,2309.1199,47.3,0.15338981
16564.8,92.399994,35490.84,4117.96,169.4,157.08,2.7,8.1,40.96,2118.4,47.3,221.16617
12835.98,109.34,25878.16,3133.9,380.38,35.42,76.950005,101.25,53.76,1327.36,47.3,208.051
13649.43,97.02,43535.8,5143.6,756.13995,56.98,33.75,-6.75,139.52,2467.8398,47.4,329.7348
15001.41,67.759995,27023.92,2913.68,144.76,-61.6,95.85,18.9,131.84,1239.0399,47.4,185.79453
23971.11,103.18,56126.84,6674.36,628.32,149.37999,155.25,1.35,184.31999,2904.3198,47.4,241.78973
16943.25,115.5,40341.84,4846.38,308.0,16.939999,20.25,6.75,142.08,1793.2799,47.5,245.8919
22282.44,101.64,60200.137,7067.06,478.94,120.119995,87.75,48.600002,215.04,3008.0,47.5,279.14484
19764.66,123.2,40357.24,4730.88,480.47998,10.78,-6.75,-63.45,135.68,1734.3999,47.5,210.7288
18456.18,112.42,41988.098,4855.62,545.16,40.04,12.150001,66.15,174.08,1982.72,47.5,234.90234
35071.44,295.68,64139.457,7392.0,608.3,-6.16,66.15,45.9,296.96,3358.72,47.5,188.63545
14642.1,21.56,32997.58,3879.26,275.66,35.42,-44.55,17.550001,327.68,1516.7999,47.5,232.68271
18634.53,50.82,46047.54,5283.7397,329.56,43.12,12.150001,83.700005,175.36,2248.96,47.5,255.23349
18097.74,84.7,35378.418,4156.46,349.58,138.59999,6.75,28.35,57.6,1524.48,47.6,201.70383
13411.05,69.299995,24096.379,2621.0798,169.4,72.38,4.05,25.65,153.59999,1139.2,47.6,185.3103
23674.44,154.0,54354.297,6706.6997,383.46,117.03999,40.5,6.75,203.51999,2732.8,47.6,237.06856
15951.45,113.96,30314.898,3332.5598,397.31998,-35.42,2.7,43.2,167.68,1268.48,47.6,196.06242
28290.66,278.74,84419.72,9839.06,879.33997,192.5,229.5,60.75,322.56,4113.92,47.6,308.42023
28466.4,275.66,51135.7,6378.6797,563.64,252.56,-5.4,-17.550001,183.04,2926.0798,47.6,185.26855
14895.2705,80.08,28992.04,3574.3398,438.9,55.44,39.15,28.35,57.6,1370.88,47.6,200.82654
20056.98,195.58,37463.58,4564.56,341.88,195.58,22.95,40.5,124.159996,1790.72,47.7,192.68303
12749.85,137.06,19314.68,2185.26,295.68,3.08,16.2,-17.550001,144.64,943.36,47.7,156.08342
22097.13,161.7,43053.777,4935.6997,691.45996,55.44,89.1,55.350002,152.31999,1907.2,47.7,201.03343
27862.621,163.23999,56696.637,7027.02,559.01996,93.939995,126.9,20.25,189.44,3299.8398,47.7,210.00037
29316.39,121.659996,70302.54,8188.1797,743.82,187.87999,78.3,59.4,289.28,3590.4,47.7,247.66139
11485.74,72.38,25795.0,2792.02,326.47998,-23.099998,52.65,144.45,104.96,1242.88,47.8,231.87582
20482.41,140.14,38295.18,4381.3,329.56,29.259998,2.7,66.15,180.48,1803.52,47.8,192.87015
16996.32,87.78,30856.979,3725.26,303.38,-72.38,5.4,12.150001,138.23999,1452.7999,47.8,187.25493
22827.06,118.579994,39270.0,4710.86,577.5,-26.18,68.85,12.150001,193.28,1872.64,47.8,177.3852
