Specimen_001_Tube_001_001_FITC,Specimen_001_Tube_002_002_FITC,Specimen_001_Tube_003_003_FITC,Specimen_001_Tube_004_004_FITC,Specimen_001_Tube_005_005_FITC,Specimen_001_Tube_006_006_FITC,Specimen_001_Tube_007_007_FITC,Specimen_001_Tube_008_008_FITC,Specimen_001_Tube_009_009_FITC,Specimen_001_Tube_010_010_FITC
383.26266,395.6757,347.95557,220.13705,215.05983,203.23134,155.37454,175.381,109.23771,2.8259573
330.92905,264.1284,237.85535,0.15338981,195.6739,178.80634,184.43744,138.94441,146.79759,1.9147778
291.67865,291.3311,323.7359,221.16617,187.75137,195.78267,162.03844,158.43655,119.74444,1.4127519
473.99976,333.33282,369.78958,208.051,219.41711,187.95837,198.21066,169.25528,113.03905,-0.31476837
269.9156,455.63187,216.78857,329.7348,217.77118,176.28882,122.85596,146.09819,103.33622,1.9133451
422.02155,286.08047,429.42844,185.79453,200.7004,223.1392,172.14677,160.01848,30.227886,2.0660686
361.78372,428.59357,273.6593,241.78973,245.3497,118.89555,128.00322,157.45413,109.68267,0.82884765
316.77386,348.5711,4.6773753,245.8919,248.68596,179.22025,150.98584,184.21776,56.535366,1.4370153
369.9476,460.99722,244.64534,279.14484,333.85263,182.21454,163.46191,250.3008,88.95301,2.9217997
571.0376,513.024,282.44077,210.7288,248.03502,210.98799,146.1015,140.89713,112.59991,-0.5869818
472.50027,428.12646,229.70662,234.90234,191.49866,190.41882,194.30067,146.93974,90.38719,1.5276406
485.30368,425.504,232.95456,188.63545,212.06104,209.17766,150.50374,2.849863,64.50112,0.103438854
258.4881,276.30862,262.76086,232.68271,170.69598,188.72926,159.54272,158.50816,69.76287,-0.1461817
521.2938,388.43665,324.12775,255.23349,208.36925,187.73401,168.90015,129.8812,47.556408,0.04466629
413.57208,250.75954,206.2367,201.70383,210.39108,205.04837,178.01515,151.2567,164.8874,0.5949514
395.88004,291.455,230.58809,185.3103,187.34412,184.3156,194.7348,149.1081,67.335655,1.213794
486.40976,685.9686,330.0328,237.06856,199.92871,199.23753,178.79912,170.10468,1.5414319,1.6364663
591.90924,373.43494,253.20303,196.06242,191.71674,-0.1856302,3.0067892,169.22835,117.44189,1.6706569
504.8828,340.4473,186.42023,308.42023,184.26036,205.12033,162.92427,150.91327,1.74475,0.7846719
506.1944,433.46936,287.64423,185.26855,182.37576,203.2669,190.09084,143.3831,0.2727524,-0.43944776
237.78966,319.33875,341.6863,200.82654,194.69252,188.62769,137.47827,170.77562,171.48193,0.8853241
426.4406,320.73846,256.44794,192.68303,199.99413,179.0225,164.21117,182.24576,30.88044,2.8787475
300.1012,344.9862,318.8488,156.08342,246.83492,197.34238,141.27303,158.09062,95.798355,2.4400349
478.11813,315.8863,337.22797,201.03343,209.18611,205.57668,173.27882,142.7748,56.491287,-0.48378468
522.42566,388.0568,266.13776,210.00037,1.8869956,211.17007,180.66803,141.26505,109.98988,2.3263412
310.86057,221.3243,298.39084,247.66139,0.59467304,184.18814,-0.12078315,156.82228,183.60173,2.6743913
735.5184,230.57556,232.19565,231.87582,201.625,181.34969,126.9651,130.39238,145.96445,2.9449768
431.51447,614.2024,286.75165,192.87015,165.75035,169.60596,142.46767,167.15295,12.516707,1.7374711
593.1644,341.41052,311.41708,187.25493,223.48509,0.5145463,172.61636,143.3725,0.51184535,3.4897065
506.06216,319.63724,342.1961,177.3852,227.8039,203.8277,160.09634,154.01292,44.513824,-0.29643428
327.02158,357.4545,193.48523,207.09746,217.43098,189.95036,191.342,141.83783,62.25049,2.440099
310.1429,252.71663,246.7706,201.3502,206.71223,227.46045,156.79372,154.35406,23.676249,2.9861386
287.42056,241.80698,282.56763,224.08925,269.5996,192.68384,163.72408,167.08624,1.7066734,1.5399446
306.7016,264.6769,263.4678,194.32619,218.50717,200.52864,189.89825,192.68372,180.22037,2.5178227
411.19077,255.07825,268.14697,249.29121,254.77039,208.6712,171.6396,144.01424,2.2552125,0.38064992
300.15726,260.52335,277.55774,217.87401,200.46193,212.79158,0.20287538,154.97365,73.14327,2.0207255
296.9858,314.53937,1.5016296,231.04008,234.52066,194.01369,164.07709,140.05928,64.1076,2.2431102
6.580112,489.88086,366.08273,214.00163,263.41147,324.4211,157.23477,176.2624,92.56358,0.5812931
521.7079,475.95547,287.26666,232.30928,174.30205,204.62625,171.80086,159.51707,108.06413,1.5906401
390.1423,478.84268,248.01233,185.17612,262.99988,195.2811,178.67758,145.66096,75.59201,1.7212431
341.0799,313.7493,356.13208,218.42538,192.05518,257.9854,190.94841,151.58568,83.5374,2.6653183
0.13196874,484.86328,379.04236,213.53322,237.06696,280.0775,165.42259,243.91154,48.458843,2.1995797
278.2229,262.34875,858.7177,154.09409,177.25336,240.5479,192.39302,129.62683,67.01696,-0.32778078
