FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,Time,FITC_fluorescence,Pacific_Blue_fluorescence
23504.791,146.3,2530.22,1943.48,380.38,21.56,63.45,-2.7,30995.2,23104.0,56.3,47.74798,110.139534
16876.26,155.54,1190.4199,956.33997,460.46,-27.72,62.100002,63.45,16066.56,11815.68,56.3,30.943218,79.23747
19651.56,152.45999,1544.62,1341.34,163.23999,18.48,-9.45,-63.45,26132.479,17960.959,56.4,34.594208,111.076385
25844.22,170.94,3087.7,2229.92,137.06,-47.739998,13.5,45.9,28812.799,23041.28,56.4,53.103626,92.96207
19620.24,257.18,1433.74,1199.6599,312.62,80.08,8.1,1.35,27520.0,17872.639,56.5,32.091827,117.21556
9401.22,135.51999,58.519997,81.619995,511.28,266.41998,99.9,36.45,683.51996,1280.0,56.5,1.8188684,5.127701
15022.29,95.479996,900.89996,999.45996,229.45999,69.299995,-24.300001,-12.150001,16628.48,11873.279,56.5,26.157835,92.29255
17385.21,130.9,2185.26,1652.4199,275.66,135.51999,14.85,-13.5,21223.68,17363.2,56.5,55.921703,101.88955
16550.01,157.08,1210.44,1121.12,249.48,1.54,141.75,-55.350002,18182.4,12993.279,56.5,32.120712,91.59414
28688.25,301.84,2514.8198,2154.46,441.97998,144.76,-4.05,33.75,48609.277,32378.879,56.6,38.696987,141.80574
8447.7,141.68,32.34,295.68,426.58,133.98,2.7,12.150001,661.76,1040.64,56.6,0.7336292,5.602259
13733.82,92.399994,1232.0,907.06,189.42,23.099998,1.35,43.2,15776.0,11566.08,56.6,39.62319,95.81354
22571.28,157.08,2283.8198,1794.1,155.54,231.0,117.450005,0.0,29400.32,21876.48,56.6,44.820557,108.780815
39901.68,375.75998,3960.88,3116.96,589.82,237.15999,168.75,-39.15,51984.64,38146.56,56.7,43.95264,108.80305
30715.35,169.4,2744.28,2422.42,472.78,147.84,-66.15,-14.85,43473.918,31136.0,56.7,39.460167,118.28995
24912.45,238.7,1518.44,1452.22,417.34,6.16,22.95,2.7,31883.52,21038.08,56.7,26.601706,106.86495
