Specimen_001_Tube_001_001_FITC,Specimen_001_Tube_001_001_PacificBlue,Specimen_001_Tube_002_002_FITC,Specimen_001_Tube_002_002_PacificBlue,Specimen_001_Tube_003_003_FITC,Specimen_001_Tube_003_003_PacificBlue,Specimen_001_Tube_004_004_FITC,Specimen_001_Tube_004_004_PacificBlue,Specimen_001_Tube_005_005_FITC,Specimen_001_Tube_005_005_PacificBlue,Specimen_001_Tube_006_006_FITC,Specimen_001_Tube_006_006_PacificBlue,Specimen_001_Tube_007_007_FITC,Specimen_001_Tube_007_007_PacificBlue,Specimen_001_Tube_008_008_FITC,Specimen_001_Tube_008_008_PacificBlue,Specimen_001_Tube_009_009_FITC,Specimen_001_Tube_009_009_PacificBlue,Specimen_001_Tube_010_010_FITC,Specimen_001_Tube_010_010_PacificBlue
580.90594,90.99229,460.14624,66.53675,525.34204,83.585846,480.24335,68.14747,3.483858,6.990797,282.7263,91.91463,155.94731,112.40064,47.74798,110.139534,6.724777,164.36641,1.5021675,98.72244
579.1554,85.711296,772.0452,112.73096,565.93365,86.83563,426.37506,65.50288,401.4445,78.58708,252.7883,76.78831,121.66985,91.65102,30.943218,79.23747,3.4256358,98.27746,-1.3112481,80.43081
473.61847,74.69861,600.5257,90.41301,550.5102,83.30139,580.85596,84.81448,325.9088,55.581078,272.15814,82.43374,132.2902,90.6362,34.594208,111.076385,3.4725957,105.92379,1.8373954,89.74407
603.5449,98.09663,494.3338,77.62651,652.76404,94.53723,743.95123,112.75862,361.68372,60.69752,268.5167,82.3723,110.88647,80.17003,53.103626,92.96207,2.8109148,98.15953,2.0766115,84.24331
571.1223,86.13568,522.2756,77.803215,535.26843,76.620384,421.73813,61.702774,428.20108,79.21862,698.9403,242.85718,146.96477,100.94383,32.091827,117.21556,4.976409,106.67336,2.3182614,70.51275
513.0147,80.50539,494.00397,77.08262,532.1355,79.919716,437.3716,64.96793,418.9652,76.43527,305.53674,92.06805,140.29367,108.058395,1.8188684,5.127701,3.2528725,86.64121,2.6356668,69.9394
637.42084,96.252045,535.6269,85.0751,414.28433,61.555614,502.28622,75.90075,328.93863,57.292908,554.25385,180.55048,135.27873,90.09105,26.157835,92.29255,1.6367071,93.90481,2.008064,77.23802
471.3221,74.681366,532.74066,83.60369,490.03445,73.28227,404.31012,60.5812,404.1422,72.06754,259.80023,83.69844,146.00879,96.36501,55.921703,101.88955,4.594279,96.776276,-2.491066,101.46828
478.2567,71.35198,561.47424,84.96073,538.3015,77.7386,473.09576,70.73308,315.58765,58.640415,247.7743,81.807434,86.50728,63.19995,32.120712,91.59414,0.7816639,86.57864,-2.9414556,108.179955
548.506,82.69234,497.35184,76.97581,524.2472,81.44592,458.53806,63.951157,429.22726,73.39876,291.7472,85.01099,128.25671,92.035126,38.696987,141.80574,7.1040087,169.59567,0.18372512,103.71767
504.85544,77.94033,503.439,77.232765,490.67416,76.68285,529.1841,77.38705,462.61594,87.56875,209.00677,67.354065,126.21305,88.65474,0.7336292,5.602259,3.719596,82.594055,3.6842608,53.56222
505.57703,77.10783,537.9513,81.023705,623.52313,89.857124,520.7618,76.5472,409.6824,74.801605,268.23108,81.9491,132.38348,92.84709,39.62319,95.81354,2.8022478,88.58769,0.99989057,1.5225153
566.0926,90.70736,448.16254,69.662796,455.6284,67.96318,402.0836,59.33801,1.5374043,2.1607676,252.99129,86.23319,110.13675,81.162445,44.820557,108.780815,3.2291923,88.183205,0.45509768,76.005974
536.06683,81.0128,581.67426,91.906715,414.108,63.950554,565.015,85.97947,328.0691,62.92221,255.59473,87.252335,109.436,90.52451,43.95264,108.80305,1.471108,89.04131,2.4987266,58.903778
635.5612,94.03528,611.22614,93.66641,482.99942,73.537796,502.32034,75.16729,435.79718,81.44295,251.77254,80.637634,108.01085,86.995476,39.460167,118.28995,5.1771827,6.6888814,-1.0,104.74425
554.82635,85.85282,490.22595,77.14132,520.693,76.165726,396.10193,60.58015,395.8651,68.57864,267.76926,88.297844,143.79897,111.43587,26.601706,106.86495,6.702824,95.22802,2.2882292,66.31261
539.8556,87.81117,5.6544976,13.472682,491.41687,75.76166,483.169,66.91485,356.2726,60.858948,200.22717,69.09835,116.4684,90.596275,41.601974,98.81128,2.8426359,95.02605,-2.8715596,93.973
572.5947,87.57391,456.92215,71.5644,555.9751,85.87187,451.25284,69.03225,333.9914,58.517807,262.01187,87.03279,117.80838,88.42685,20.398155,99.5999,1.8331845,112.16925,0.8379401,90.75407
518.5269,81.40546,0.9876442,0.89880764,538.48975,81.53817,508.02597,75.434906,377.36032,72.73888,276.65088,84.68543,183.63522,142.63644,50.01902,124.82406,3.379736,101.36867,1.9893081,69.309715
404.02014,61.52388,366.97504,59.085747,467.96683,70.7703,392.48193,58.595768,381.51175,72.39985,245.23145,81.48164,115.92576,88.71618,20.936592,99.378044,2.7315836,114.06997,1.9079244,102.96331
