FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,Time,FITC_fluorescence,Pacific_Blue_fluorescence
19590.56,190.31999,18295.68,12653.159,1157.5199,78.0,17.81,-53.43,17537.549,52563.63,56.5,421.9182,74.44884
13455.2,90.479996,9859.199,7082.4,714.48,138.84,4.11,-27.4,11197.199,32100.36,56.5,330.82278,69.13742
19334.48,149.76,19024.2,12941.76,1135.6799,138.84,-34.25,4.11,17195.7,53922.0,56.6,444.58298,73.95798
15034.8,123.24,13138.319,8455.199,708.24,84.24,36.99,31.51,12491.069,39279.207,56.6,394.7281,69.021675
16068.8,106.079994,12646.92,8601.84,851.75995,32.76,-16.44,20.55,14809.199,39915.18,56.6,355.41507,76.67454
13101.439,109.2,11756.159,7601.88,756.6,79.56,52.06,-31.51,10503.18,33332.31,56.6,405.35083,66.56664
29674.48,296.4,27212.639,18369.0,1402.44,15.599999,58.91,39.73,29408.129,83484.93,56.7,414.2812,82.52467
13784.32,148.2,10874.76,7441.1997,585.0,-39.0,-34.25,-19.18,10780.529,32590.559,56.7,356.2638,64.91515
13620.64,184.07999,9810.84,6573.84,482.03998,90.479996,38.36,38.36,11895.09,30522.69,56.7,325.18457,72.60389
16556.32,129.48,16348.8,11090.04,1394.6399,296.4,17.81,-13.7,15685.109,45284.16,56.8,446.17426,78.8462
32588.16,283.91998,33015.84,22197.238,2096.64,184.07999,12.33,-32.88,30776.818,99038.46,56.9,457.79346,78.59658
19470.0,168.48,18729.36,12018.239,1215.24,368.15997,27.4,-63.02,20242.68,58967.188,56.9,434.62387,86.625916
14766.4,123.24,10501.92,6603.48,789.36,159.12,75.35,12.33,13922.97,31759.799,56.9,321.0689,78.46718
13191.2,149.76,7578.4795,5414.76,558.48,51.48,53.43,-52.06,12444.63,25023.42,56.9,259.16714,78.511185
30153.2,212.15999,29065.918,19301.879,1659.84,254.27998,131.52,-1.37,26350.83,81224.84,57.0,435.52124,72.65317
