Specimen_001_Tube_001_001_FITC,Specimen_001_Tube_001_001_PacificBlue,Specimen_001_Tube_002_002_FITC,Specimen_001_Tube_002_002_PacificBlue,Specimen_001_Tube_003_003_FITC,Specimen_001_Tube_003_003_PacificBlue,Specimen_001_Tube_004_004_FITC,Specimen_001_Tube_004_004_PacificBlue,Specimen_001_Tube_005_005_FITC,Specimen_001_Tube_005_005_PacificBlue,Specimen_001_Tube_006_006_FITC,Specimen_001_Tube_006_006_PacificBlue,Specimen_001_Tube_007_007_FITC,Specimen_001_Tube_007_007_PacificBlue,Specimen_001_Tube_008_008_FITC,Specimen_001_Tube_008_008_PacificBlue,Specimen_001_Tube_009_009_FITC,Specimen_001_Tube_009_009_PacificBlue,Specimen_001_Tube_010_010_FITC,Specimen_001_Tube_010_010_PacificBlue
502.89948,90.369316,429.46213,73.74472,389.28104,68.58716,380.73575,65.539566,482.97525,80.24846,398.8662,66.13487,477.03217,80.65358,396.35843,68.91118,432.9803,75.25552,421.9182,74.44884
389.33707,67.90877,451.79868,78.95785,610.6153,111.31605,421.55225,72.1438,454.2682,82.14017,467.9887,79.956825,442.23895,76.90023,491.9538,87.30192,445.54178,82.1359,330.82278,69.13742
504.4333,82.70185,432.31393,74.734344,384.83386,69.52586,465.9982,80.84743,509.0704,83.697784,404.1399,78.5184,380.07568,65.14266,547.51184,97.42983,603.63684,105.186325,444.58298,73.95798
513.1152,88.760475,442.86005,77.7067,455.20255,86.44231,489.52533,82.850044,398.79416,70.15673,478.04413,78.78939,406.20908,68.731064,425.1962,72.48849,422.0938,72.87169,394.7281,69.021675
512.1668,86.375,489.14774,83.46382,493.03647,86.10919,471.3577,77.81597,371.72433,79.13653,451.9545,81.2844,411.60895,81.9901,393.35245,94.26107,453.30594,81.07189,355.41507,76.67454
531.59485,91.2878,506.8212,82.32049,430.70746,74.31714,436.9509,76.71045,476.6509,82.10997,382.0486,70.78465,426.3853,72.85554,385.38483,64.56967,444.4138,75.946884,405.35083,66.56664
496.2925,84.36785,949.0631,156.6484,385.48755,71.308365,411.5512,69.129234,396.1375,68.2271,434.52557,77.330345,485.20068,79.76145,409.9131,70.353546,460.62744,79.561615,414.2812,82.52467
507.19424,85.52347,488.1107,82.12511,478.41605,88.556755,431.7561,73.88831,457.30716,78.715164,451.99432,75.64638,390.20193,67.16412,434.82977,77.78975,465.1004,81.23394,356.2638,64.91515
486.75916,80.901855,437.0261,72.8696,487.90906,83.355515,403.5359,67.77233,459.6223,76.260086,414.04617,71.955505,442.1959,73.767685,468.8505,79.784744,514.03503,90.70824,325.18457,72.60389
427.54092,74.91871,511.02386,82.63502,435.06708,74.07443,455.24762,78.77671,431.62878,73.18906,302.44604,93.36511,376.7789,61.421917,269.1483,78.57097,419.5084,70.22913,446.17426,78.8462
473.81863,79.889595,466.5902,79.782,449.0009,80.512474,489.26584,81.001434,466.17545,84.717766,429.24146,73.5231,352.36304,74.55197,462.30215,77.58654,491.55984,82.078766,457.79346,78.59658
493.58795,85.394424,483.2938,79.499405,433.88028,79.48462,443.1686,74.906105,486.29462,82.95115,385.11673,68.13693,596.36945,105.27164,765.9295,145.14082,431.6093,76.41612,434.62387,86.625916
473.60974,76.429245,482.73145,81.518486,429.31152,74.5042,446.53204,78.051506,392.71777,91.73739,458.07623,79.98803,397.24658,72.79575,403.30127,74.4498,468.9913,77.14081,321.0689,78.46718
480.8762,82.229324,451.40573,82.84302,443.07217,83.43424,427.7472,77.64136,497.3954,84.6051,472.18585,80.27483,454.77963,81.70734,478.44128,81.423,494.51944,91.76558,259.16714,78.511185
491.96854,83.39144,420.95438,72.57057,486.3053,89.10539,400.70883,69.59682,445.20038,79.77047,471.6674,78.495056,411.78918,66.929955,261.21906,77.10061,443.01053,78.612976,435.52124,72.65317
492.17456,86.13777,458.71106,79.10326,421.71783,75.27741,437.30048,76.77467,466.2175,78.69815,399.85583,70.43963,407.61768,71.97705,460.32336,78.08231,464.6106,77.29783,398.80673,68.11558
488.76456,79.83362,406.09085,68.85977,427.58496,75.16019,459.42313,83.276505,437.6821,75.22324,464.0785,77.93874,393.86984,71.34583,326.81543,109.880646,411.98428,83.90752,354.48505,79.65395
488.1914,81.08687,402.4993,70.78055,359.75644,64.963974,438.10773,72.686195,438.12762,77.861786,399.71716,73.7453,382.94812,64.70085,449.86432,76.359856,477.2621,79.07129,437.08755,69.63035
453.64194,73.64624,453.56628,77.41265,446.96863,79.48543,491.60052,85.29909,427.05197,72.79252,466.15622,79.73587,370.06296,70.86193,403.50345,71.01069,410.64233,68.96741,192.61409,97.05796
479.1664,82.553986,497.97794,81.535965,419.55096,71.89408,496.3859,84.25461,348.0912,78.64951,304.07028,81.81263,450.82053,78.688156,437.17758,72.76171,407.3679,69.7404,377.4259,71.52938
479.9847,79.96336,463.13684,78.314735,463.51624,79.03576,461.72943,82.490814,475.87814,80.853546,383.5044,64.99445,453.29514,79.886375,487.96326,82.30832,485.63434,84.802925,413.76416,69.048035
497.83298,87.58856,393.81937,63.185043,422.2937,75.24057,461.76468,80.97493,390.05682,67.809166,419.01913,68.60245,186.5316,99.40709,402.45258,71.157295,419.7107,70.293686,452.06915,72.78751
407.87213,68.06003,502.5285,84.470634,485.1929,84.932304,479.81125,79.46146,482.89655,80.51176,408.69736,72.55659,463.4369,81.384636,450.08,78.3594,371.76712,78.49071,356.35718,68.068504
456.5183,82.5322,507.4576,87.10266,378.74518,68.06426,459.25027,77.83972,416.1686,72.78899,431.79752,76.23119,423.6867,71.69227,434.43393,79.26154,441.3199,73.98969,393.68848,75.29601
430.8846,78.61561,456.14117,78.084114,473.6282,82.257164,460.57877,80.78265,440.09363,75.6495,426.62473,73.43038,423.82257,77.65786,483.33133,78.92594,498.46426,83.65269,471.28177,80.13252
428.16928,71.986786,489.24716,80.615005,465.44162,81.21535,442.44934,77.37742,450.94397,77.86658,296.5584,96.54392,380.7487,77.60048,352.93253,86.76547,445.41748,80.32034,403.4176,74.659164
426.23743,73.283905,457.00708,81.7019,627.70197,111.65602,428.34195,76.675705,501.1133,90.00867,473.57043,76.460625,432.19513,72.909424,435.55646,76.15966,420.7189,70.256905,386.20486,76.27751
457.4562,77.90101,490.98734,82.36802,378.0195,68.71485,485.4692,81.01976,420.1121,75.20464,484.59357,88.24544,509.9688,82.92658,434.8739,76.05003,418.23615,72.19144,412.67444,78.943436
464.33554,79.30739,496.23364,81.437675,908.76807,168.31932,434.97128,74.41243,485.27658,81.46983,491.68826,87.32536,464.84042,77.096695,474.22495,79.29144,370.55624,63.44619,433.37946,78.92099
401.0431,70.928795,433.89243,73.06396,471.7474,85.91833,425.63196,72.892586,409.3054,70.05226,437.9082,70.73069,375.83353,69.663086,417.29193,70.4313,493.10022,82.84617,390.32187,79.919075
447.25793,76.48814,431.72092,76.014404,389.16565,74.06837,461.80942,81.150894,455.6072,75.08332,429.90277,71.020706,441.02884,76.511,456.63107,74.1036,406.4456,78.952324,392.61548,74.43286
463.36087,79.49896,489.36636,82.077225,420.95016,75.34331,466.154,79.33243,441.76428,77.589325,456.0393,80.69916,422.7855,74.399666,399.90045,84.716644,407.47293,69.487785,355.43936,78.30934
479.76407,82.906784,489.06546,80.563034,429.36743,77.500084,515.52997,84.63236,444.75284,76.69805,457.31277,81.01296,464.01138,74.402214,450.6512,80.32631,463.38037,81.99826,392.33304,73.7266
476.75516,80.44712,464.31055,76.75823,463.29187,82.46755,471.8688,77.80592,435.59045,75.72383,493.12152,86.24561,457.0681,80.45734,410.7217,71.28389,372.08032,79.70466,415.13718,73.918304
483.56567,80.622444,503.55966,84.4777,497.92825,91.10328,420.3284,68.81926,432.61987,77.35568,448.45526,72.89447,483.27847,82.0624,471.50208,81.78423,393.86465,71.37837,470.8222,82.81971
456.30313,78.9027,503.34497,82.18131,442.7876,76.34729,400.09518,70.83687,423.0294,73.896675,358.393,59.22305,408.94022,76.57084,442.3945,75.05448,433.14517,76.92654,416.32828,76.95993
525.3528,87.95118,481.51346,80.725235,515.3052,90.99746,492.13638,82.59941,472.31482,88.11716,509.71707,85.3957,452.82083,78.553085,452.8171,78.56297,471.80627,84.92728,433.4382,83.94573
448.47565,80.35734,475.24722,81.48932,469.60223,86.66579,412.09802,67.75504,520.76855,91.652794,412.50278,70.57715,473.2936,80.8655,473.13126,80.905624,434.5864,81.7653,335.2089,79.48154
440.15756,75.297676,469.4645,77.90394,422.49832,75.474174,457.88367,74.98216,469.73428,82.17272,480.66086,80.51788,478.7239,83.79567,425.75876,74.872345,423.8167,71.1982,330.3102,64.72278
517.73376,87.12239,474.5295,77.41868,452.491,81.84071,396.74796,68.55865,415.49136,69.05119,430.8945,70.845314,461.37503,75.28165,442.26712,74.20626,400.67303,69.59667,522.99164,90.143326
